номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,,Всего по позиции,,,,,,,11046.28,,400.98,50,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
5,ГЭСН13-03-002-04,Огрунтовка металлических поверхностей за один раз: грунтовкой ГФ-021,100 м2,0.0363,1.0,0.0363,,,,,,51,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"Объем=(1,21*3) / 100",,,,,,,,,,52,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Прил.13.2 п.17,"Нанесении лакокрасочных материалов ручным способом ОЗП=1,1; ТЗ=1,1",,,,,,,,,,53,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.2120283,,,,,91.75,54,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-47,"Средний разряд работы 4,7",чел.-ч,5.31,1.1,0.2120283,,,432.74,,91.75,55,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,1.06,56,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.000726,,,,,0.3,57,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.03-060,"Лебедки электрические тяговым усилием до 5,79 кН (0,59 т)",маш.-ч,0.01,,0.000363,6.62,1.43,9.47,,0.0,58,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.05-011,"Погрузчики одноковшовые универсальные фронтальные пневмоколесные, номинальная вместимость основного ковша 2,6 м3, грузоподъемность 5 т",маш.-ч,0.01,,0.000363,,,1591.81,,0.58,59,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-050,ОТм(Зтм) Средний разряд машинистов 5,чел.-ч,0.01,,0.000363,,,450.28,,0.16,60,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.01,,0.000363,,,611.87,,0.22,61,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.01,,0.000363,,,391.8,,0.14,62,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.21.01-012,"Агрегаты окрасочные высокого давления для окраски поверхностей конструкций, мощность 1 кВт",маш.-ч,1.12,,0.040656,4.52,1.44,6.51,,0.26,63,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,30.75,64,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,14.4.01.01-0003,Грунтовка ГФ-021,т,0.009,,0.0003267,51280.15,1.5,76920.23,,25.13,65,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,14.5.09.02-0002,"Ксилол нефтяной, марка А",т,0.0015,,5.45e-05,75885.63,1.36,103204.46,,5.62,66,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,123.86,67,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,92.05,68,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-013.0-1,НР Защита строительных конструкций и оборудования от коррозии,%,94.0,,94.0,,,,,86.53,69,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-013,СП Защита строительных конструкций и оборудования от коррозии,%,51.0,,51.0,,,,,46.95,70,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,7089.26,,257.34,71,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
6,ГЭСН13-03-004-26,Окраска металлических огрунтованных поверхностей: эмалью ПФ-115,100 м2,0.0363,1.0,0.0363,,,,,,72,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"Объем=(1,21*3) / 100",,,,,,,,,,73,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
