номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
Н,18.2.06.04,Гарнитура туалетная,шт,10.0,,2.0,,,,,,1302,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,226.11,1303,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,219.41,1304,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/812-016.0-1,"НР Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,121.0,,121.0,,,,,265.49,1305,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/774-016,"СП Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,72.0,,72.0,,,,,157.98,1306,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,3247.9,,649.58,1307,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
155,ТЦ_18.2.06.07_71_6915012732_28.07.2025_02_20.1,"Крючок-держатель для костылей и трости, М9, сталь",шт,2.0,1.0,2.0,,,1023.06,,2046.12,1308,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1309,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,2046.12,1310,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
156,ГЭСНм10-01-039-06,"Реле, ключ, кнопка и др. с подготовкой места установки( кнопка вызова персонала)",шт,2.0,1.0,2.0,,,,,,1311,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,4.0,,,,,1391.76,1312,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,2.0,,4.0,,,347.94,,1391.76,1313,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,,Итого прямые затраты,,,,,,,,,1391.76,1314,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
156.1,421/пр_2020_п.75_пп.а,Вспомогательные ненормируемые материальные ресурсы,%,2.0,,2.0,,,,,27.84,1315,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,1391.76,1316,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/812-051.1-1,НР Прокладка и монтаж сетей связи,%,90.0,,90.0,,,,,1252.58,1317,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/774-051.1,СП Прокладка и монтаж сетей связи,%,46.0,,46.0,,,,,640.21,1318,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,1656.2,,3312.39,1319,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
157,ТЦ_62.2.01.00_71_6915012732_28.07.2025_02_21.1,Антивандальная кнопка вызова персонала со звуковым сигналом и шнурком СТ3 порошковая покраска. 182 x 95 x 25мм,шт,2.0,1.0,2.0,,,7287.9,,14575.8,1320,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,(Прокладка и монтаж сетей связи),,,,,,,,,,1321,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,14575.8,1322,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
158,ГЭСН11-01-038-05,Устройство покрытий из плиток поливинилхлоридных: тактильных размером 500х500 мм на клее,100 шт,0.06,1.0,0.06,,,,,,1323,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,Объем=6 / 100,,,,,,,,,,1324,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.4446,,,,,162.5,1325,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,1-100-34,"Средний разряд работы 3,4",чел.-ч,7.41,,0.4446,,,365.49,,162.5,1326,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,13.39,1327,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.0234,,,,,9.03,1328,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,91.06.06-048,"Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м",маш.-ч,0.05,,0.003,37.32,1.48,55.23,,0.17,1329,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,4-100-030,ОТм(Зтм) Средний разряд машинистов 3,чел.-ч,0.05,,0.003,,,347.94,,1.04,1330,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.34,,0.0204,,,611.87,,12.48,1331,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.34,,0.0204,,,391.8,,7.99,1332,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
,91.21.22-638,"Пылесосы промышленные, мощность до 2000 Вт",маш.-ч,1.25,,0.075,,,9.84,,0.74,1333,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,услуги,монтажные работы
Н,01.6.03.01,Плитка тактильная поливинилхлоридная,м2,25.38,,1.5228,,,,,,1334,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
Н,14.1.02.04,Состав клеящий,кг,8.0,,0.48,,,,,,1335,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
Н,14.4.01.02,Грунтовки на акриловой основе,кг,2.5,,0.15,,,,,,1336,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,184.92,1337,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,171.53,1338,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/812-011.0-1,НР Полы,%,112.0,,112.0,,,,,192.11,1339,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,Пр/774-011,СП Полы,%,65.0,,65.0,,,,,111.49,1340,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,8142.0,,488.52,1341,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
159,ФСБЦ-14.4.01.02-0012,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг,0.15,1.0,0.15,68.29,1.5,102.44,,15.37,1342,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,1343,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,15.37,1344,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
160,ФСБЦ-01.6.01.11-0045,"Плитки тактильные из резинополиуретана, размеры 500х500 мм, толщина с учетом высоты тактильных элементов 5 мм",м2,1.5228,1.0,1.5228,1728.85,1.51,2610.56,,3975.36,1345,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,1346,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,3975.36,1347,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
161,ФСБЦ-14.2.06.09-1014,"Средство связующее полиуретановое для изготовления изделий из резиновой/каучуковой крошки и устройства высокопрочных эластичных покрытий, вязкость 4,5-6,5 Па*с при температуре +23 °C, плотность 1,06-1,12 г/см3( прим. Двухкомпонентный клей Fixvert-S для монтажа тактильной плитки из нержавеющей стали. Расход 1 кг клея/1м2)",кг,1.5,1.0,1.5,338.36,1.5,507.54,,761.31,1348,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,1349,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,"Объем=0,48*0+0,5*0,5*6*1,0",,,,,,,,,,1350,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,761.31,1351,Раздел 6. Адаптация мужского и женского сан.узлов,Монтажные работы,,монтажные работы
водоотведение,,,,,,,,,,,,1352,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
162,ГЭСН16-04-001-01,Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром: 50 мм,100 м,0.042,1.0,0.042,,,,,,1353,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"Объем=(2,1*2) / 100",,,,,,,,,,1354,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,2.4528,,,,,989.7,1355,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,1-100-42,"Средний разряд работы 4,2",чел.-ч,58.4,,2.4528,,,403.5,,989.7,1356,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,2,ЭМ,,,,,,,,,1.31,1357,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.00126,,,,,0.6,1358,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.05.01-017,"Краны башенные, грузоподъемность 8 т",маш.-ч,0.01,,0.00042,622.62,1.4,871.67,,0.37,1359,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.01,,0.00042,,,526.3,,0.22,1360,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.05.05-015,"Краны на автомобильном ходу, грузоподъемность 16 т",маш.-ч,0.01,,0.00042,,,1626.46,,0.68,1361,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.01,,0.00042,,,526.3,,0.22,1362,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.01,,0.00042,,,611.87,,0.26,1363,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.01,,0.00042,,,391.8,,0.16,1364,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4,М,,,,,,,,,8.97,1365,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,01.7.03.01-0001,Вода,м3,0.39,,0.01638,35.71,0.89,31.78,,0.52,1366,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,01.7.15.03-0014,"Болты стальные с шестигранной головкой, в комплекте с шестигранной гайкой и плоской круглой шайбой, диаметр резьбы М16, длина болта 25-200 мм",т,0.0012,,5.04e-05,145801.49,1.15,167671.71,,8.45,1367,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
Н,01.7.19.02,Кольца резиновые,кг,1.5,,0.063,,,,,,1368,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
"П,Н",18.1.02.01,Задвижки,шт,0.0,,0.0,,,,,,1369,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
"П,Н",23.1.02.07,Крепления,кг,0.0,,0.0,,,,,,1370,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
Н,24.3.03.02,"Трубопроводы канализации из полиэтиленовых труб высокой плотности с гильзами, диаметром 50 мм",м,99.8,,4.1916,,,,,,1371,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,1000.58,1372,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,ФОТ,,,,,,,,,990.3,1373,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,Пр/812-016.0-1,"НР Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,121.0,,121.0,,,,,1198.26,1374,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,Пр/774-016,"СП Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,72.0,,72.0,,,,,713.02,1375,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,69330.0,,2911.86,1376,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
163,ФСБЦ-24.3.02.02-0003,"Трубы полипропиленовые для систем водоотведения, диаметр 50 мм",м,4.1916,1.0,4.1916,134.0,1.14,152.76,,640.31,1377,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"(Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха))",,,,,,,,,,1378,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,,,640.31,1379,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
164,ФСБЦ-24.3.05.08-0203,"Отвод 87,5° полипропиленовый для систем водоотведения, диаметр 50 мм",шт,4.0,1.0,4.0,24.29,1.14,27.69,,110.76,1380,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"(Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха))",,,,,,,,,,1381,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Объем=2*2,,,,,,,,,,1382,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,,,110.76,1383,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
165,ГЭСН16-04-001-02,Прокладка трубопроводов канализации из полиэтиленовых труб высокой плотности диаметром: 110 мм,100 м,0.022,1.0,0.022,,,,,,1384,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"Объем=(1,1*2) / 100",,,,,,,,,,1385,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.232,,,,,497.11,1386,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,1-100-42,"Средний разряд работы 4,2",чел.-ч,56.0,,1.232,,,403.5,,497.11,1387,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,2,ЭМ,,,,,,,,,1.57,1388,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.00154,,,,,0.75,1389,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.05.01-017,"Краны башенные, грузоподъемность 8 т",маш.-ч,0.03,,0.00066,622.62,1.4,871.67,,0.58,1390,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.03,,0.00066,,,526.3,,0.35,1391,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.05.05-015,"Краны на автомобильном ходу, грузоподъемность 16 т",маш.-ч,0.02,,0.00044,,,1626.46,,0.72,1392,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.02,,0.00044,,,526.3,,0.23,1393,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.02,,0.00044,,,611.87,,0.27,1394,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.02,,0.00044,,,391.8,,0.17,1395,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,услуги,монтажные работы
,4,М,,,,,,,,,10.91,1396,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,01.7.03.01-0001,Вода,м3,1.57,,0.03454,35.71,0.89,31.78,,1.1,1397,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,01.7.15.03-0014,"Болты стальные с шестигранной головкой, в комплекте с шестигранной гайкой и плоской круглой шайбой, диаметр резьбы М16, длина болта 25-200 мм",т,0.00266,,5.85e-05,145801.49,1.15,167671.71,,9.81,1398,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
Н,01.7.19.02,Кольца резиновые,кг,4.0,,0.088,,,,,,1399,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
"П,Н",18.1.02.01,Задвижки,шт,0.0,,0.0,,,,,,1400,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
"П,Н",23.1.02.07,Крепления,кг,0.0,,0.0,,,,,,1401,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
Н,24.3.03.02,"Трубопроводы канализации из полиэтиленовых труб высокой плотности с гильзами, диаметром 110 мм",м,99.8,,2.1956,,,,,,1402,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,510.34,1403,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,ФОТ,,,,,,,,,497.86,1404,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,Пр/812-016.0-1,"НР Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,121.0,,121.0,,,,,602.41,1405,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,Пр/774-016,"СП Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,72.0,,72.0,,,,,358.46,1406,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,66873.18,,1471.21,1407,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
166,ФСБЦ-24.3.02.02-0004,"Трубы полипропиленовые для систем водоотведения, диаметр 110 мм",м,2.1956,1.0,2.1956,324.68,1.14,370.14,,812.68,1408,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"(Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха))",,,,,,,,,,1409,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,,,812.68,1410,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
167,ФСБЦ-24.3.05.08-0204,"Отвод 87,5° полипропиленовый для систем водоотведения, диаметр 110 мм",шт,8.0,1.0,8.0,88.67,1.14,101.08,,808.64,1411,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"(Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха))",,,,,,,,,,1412,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Объем=4*2,,,,,,,,,,1413,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,,,808.64,1414,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
168,ФСБЦ-24.3.05.10-0001,"Переход полипропиленовый для систем водоотведения, диаметр 110х50 мм",шт,2.0,1.0,2.0,83.42,1.14,95.1,,190.2,1415,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,материалы,монтажные работы
,,"(Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха))",,,,,,,,,,1416,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Объем=1*2,,,,,,,,,,1417,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
,,Всего по позиции,,,,,,,,,190.2,1418,Раздел 6. Адаптация мужского и женского сан.узлов,водоотведение,,монтажные работы
Водоснабжение,,,,,,,,,,,,1419,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
169,ГЭСН16-04-005-01,"Прокладка внутренних трубопроводов водоснабжения и отопления из многослойных полипропиленовых труб, из заранее собранных узлов, наружным диаметром: 20 мм",100 м,0.064,1.0,0.064,,,,,,1420,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,,"Объем=(3,2*2) / 100",,,,,,,,,,1421,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.87744,,,,,336.09,1422,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,1-100-38,"Средний разряд работы 3,8",чел.-ч,13.71,,0.87744,,,383.03,,336.09,1423,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,2,ЭМ,,,,,,,,,2.4,1424,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.00128,,,,,0.5,1425,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,91.10.09-011,"Установки для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2)",маш.-ч,1.27,,0.08128,14.13,1.41,19.92,,1.62,1426,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.02,,0.00128,,,611.87,,0.78,1427,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.02,,0.00128,,,391.8,,0.5,1428,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,4,М,,,,,,,,,37.88,1429,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,01.7.03.01-0001,Вода,м3,0.293,,0.018752,35.71,0.89,31.78,,0.6,1430,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,01.7.03.04-0001,Электроэнергия,кВт-ч,2.4828,,0.1588992,,,8.46,,1.34,1431,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,01.7.15.07-0025,"Дюбели полиэтиленовые распорные, диаметр 10 мм, длина 40 мм",1000 шт,0.167,,0.010688,584.14,1.26,736.02,,7.87,1432,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,01.7.15.12-0031,"Шпильки стальные оцинкованные резьбовые, диаметр резьбы М10, длина 100 мм",т,0.00317,,0.0002029,150361.36,0.92,138332.45,,28.07,1433,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
"П,Н",01.7.17.09,Буры,шт,0.0,,0.0,,,,,,1434,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
"П,Н",18.1.09.06,Арматура муфтовая,шт,0.0,,0.0,,,,,,1435,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
Н,24.1.02.01,Хомуты для крепления труб,10 шт,16.7,,1.0688,,,,,,1436,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
Н,24.3.02.05,Труба напорная из полипропилена,м,102.5,,6.56,,,,,,1437,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
"П,Н",24.3.05.19,Фасонные и соединительные части,шт,0.0,,0.0,,,,,,1438,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,376.87,1439,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,,ФОТ,,,,,,,,,336.59,1440,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,Пр/812-016.0-1,"НР Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,121.0,,121.0,,,,,407.27,1441,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,Пр/774-016,"СП Сантехнические работы - внутренние (трубопроводы, водопровод, канализация, отопление, газоснабжение, вентиляция и кондиционирование воздуха)",%,72.0,,72.0,,,,,242.34,1442,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,,Всего по позиции,,,,,,,16038.75,,1026.48,1443,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
170,ГЭСН16-04-006-01,"Сборка узла трубопровода водоснабжения и отопления из многослойного полипропилена, армированного стекловолокном, раструбная сварка, наружный диаметр: 20 мм",100 соединений,0.3,1.0,0.3,,,,,,1444,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,материалы,монтажные работы
,,Объем=(1*2*2+1*3*2+5*2*2) / 100,,,,,,,,,,1445,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.468,,,,,197.05,1446,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,1-100-45,"Средний разряд работы 4,5",чел.-ч,1.56,,0.468,,,421.04,,197.05,1447,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,услуги,монтажные работы
,4,М,,,,,,,,,6.22,1448,Раздел 6. Адаптация мужского и женского сан.узлов,Водоснабжение,,монтажные работы
